2024/09/02 488 37.9
2024/09/03 490 37.9
2024/09/04 490 37.9
2024/09/05 493 37.8
2024/09/06 495 37.9
2024/09/07 496 37.9
2024/09/08 498 38.0
2024/09/09 498 37.9
2024/09/10 498 38.0
2024/09/11 496 38.1
2024/09/12 497 38.0
2024/09/13 496 37.9
2024/09/14 496 38.1
2024/09/15 497 37.9
2024/09/16 500 37.8
2024/09/17 498 37.8
2024/09/18 498 38.0
2024/09/19 496 38.0
2024/09/20 496 38.0
2024/09/21 500 37.9
2024/09/22 500 37.8
2024/09/23 497 37.6
2024/09/24 499 37.7
2024/09/25 500 37.6
2024/09/26 500 37.6
2024/09/27 500 37.6
2024/09/28 500 37.6
2024/09/29 500 37.6
2024/09/30 500 37.8
2024/10/01 500 38.2
2024/10/02 500 38.1
2024/10/03 500 37.7
2024/10/04 500 37.9
2024/10/05 500 37.8
2024/10/06 499 37.8
2024/10/07 499 37.7
2024/10/08 499 37.6
2024/10/09 499 37.9
2024/10/10 499 37.8
2024/10/11 499 37.6
2024/10/12 499 37.6
2024/10/13 499 37.7
2024/10/14 499 37.7
2024/10/15 499 37.7
2024/10/16 502 37.8
2024/10/17 503 37.7
2024/10/18 502 37.7
2024/10/19 502 37.8
2024/10/20 503 37.7
2024/10/21 503 37.5
2024/10/22 503 37.5
2024/10/23 503 37.5
2024/10/24 504 37.6
2024/10/25 507 37.5
2024/10/26 509 37.5
2024/10/27 507 37.5
2024/10/28 507 37.6
2024/10/29 507 37.5
2024/10/30 507 37.5
2024/10/31 507 37.5
